CASENEW,PWT14,SEX,AGEEULR,MARSTA3R,HIQUL15D,ETHUK7R,ILODEFR,STAT3R,FTPTWK,TOTHRS,NSECMJ3R,GOVTOF2,PWT14R
404,449,1,12,2,-9,1,3,-9,-9,-9,4,2,0.653423561085644
406,637,1,9,3,2,1,1,1,1,60,1,5,0.927017390671615
408,584,2,11,3,6,1,3,-9,-9,-9,4,11,0.849887215309612
409,919,2,8,2,2,1,1,1,1,41,1,12,1.33740813505057
410,552,2,12,3,-9,1,3,-9,-9,-9,4,6,0.803318052826894
410,491,2,11,3,5,1,3,1,2,-9,3,1,0.714545586844212
410,544,2,5,1,5,1,3,-9,-9,-9,4,1,0.791675762206214
412,618,2,6,2,4,1,2,1,1,-9,2,2,0.899366950447501
413,1253,1,3,1,1,1,1,1,1,45,1,8,1.82347376846395
413,572,2,9,2,3,1,1,2,2,30,2,2,0.832423779378593
415,1115,2,2,1,3,1,1,1,2,15,4,2,1.62264425525722
416,556,1,1,1,6,1,2,1,2,-9,4,9,0.809139198137234
417,546,1,6,2,4,1,1,1,1,40,3,9,0.794586334861384
417,618,2,8,2,7,1,1,1,1,37,2,13,0.899366950447501
419,635,2,9,2,1,7,3,-9,-9,-9,4,9,0.924106818016445
419,2837,1,12,2,-9,1,3,-9,-9,-9,4,5,4.12864731135851
420,659,1,10,2,1,3,3,1,1,-9,2,8,0.959033689878484
421,595,1,7,2,2,1,1,2,1,50,2,9,0.865895364913047
424,846,2,3,1,1,4,3,-9,-9,-9,4,8,1.23117223313687
427,690,1,4,1,6,1,1,2,1,55,2,7,1.00414756603362
427,601,1,6,1,1,1,1,2,1,40,2,6,0.874627082878556
427,428,1,11,2,1,1,3,1,2,-9,1,7,0.62286254820636
428,695,2,4,1,4,4,1,1,1,14,2,8,1.01142399767154
430,740,1,7,2,2,1,3,1,1,-9,1,2,1.07691188241286
430,537,2,9,2,2,1,1,2,1,45,1,11,0.781488757913119
432,2895,1,12,3,-9,1,3,-9,-9,-9,4,10,4.21305391835844
435,608,2,10,1,4,1,3,-9,-9,-9,4,8,0.884814087171651
435,978,1,2,1,4,1,1,1,1,0,3,4,1.42327002837808
437,501,2,11,2,5,1,3,1,2,-9,2,2,0.729098450120061
441,540,2,1,1,6,6,3,-9,-9,-9,4,8,0.785854616895874
441,393,2,6,2,2,1,1,1,2,18,3,13,0.571927526740886
442,612,1,5,2,2,1,1,1,1,72,1,10,0.890635232481991
443,615,1,8,2,5,1,1,1,1,70,3,12,0.895001091464746
447,1292,2,3,2,3,6,3,1,1,-9,4,8,1.88022993523976
453,665,2,4,1,3,1,1,2,1,-8,1,5,0.967765407843993
456,687,1,7,2,1,5,1,1,1,50,1,6,0.999781707050862
456,718,1,5,2,6,1,1,1,2,0,1,2,1.044895583206
458,0,1,12,2,-9,1,3,-9,-9,-9,4,6,0
460,636,2,11,2,2,1,1,1,2,15,2,4,0.92556210434403
460,475,1,12,2,-9,1,3,-9,-9,-9,4,12,0.691261005602852
463,0,2,12,2,-9,1,3,-9,-9,-9,4,6,0
463,820,2,2,1,3,1,2,-9,-9,-9,4,6,1.19333478861966
463,433,1,10,2,1,1,1,1,1,0,1,4,0.630138979844284
464,920,1,2,1,1,1,1,1,1,38,1,8,1.33886342137816
464,612,2,1,1,3,1,1,1,2,28,3,9,0.890635232481991
465,729,1,10,2,5,1,1,1,1,37,3,6,1.06090373280943
466,804,2,5,2,2,6,1,1,1,0,1,8,1.1700502073783
466,452,2,5,1,4,1,1,1,2,25,3,5,0.657789420068398
466,674,2,2,1,1,1,1,1,1,0,4,5,0.980862984792258
467,422,2,12,2,6,1,1,1,2,15,3,5,0.61413083024085
468,707,2,1,1,3,1,3,-9,-9,-9,4,8,1.02888743360256
468,742,1,8,3,5,1,1,1,1,34,3,7,1.07982245506803
468,3031,2,12,2,-9,1,3,-9,-9,-9,4,12,4.41097285890999
470,521,1,1,1,6,1,3,-9,-9,-9,4,5,0.75820417667176
470,675,2,3,1,3,1,1,1,1,0,2,2,0.982318271119843
471,498,2,4,1,1,1,1,1,1,42,1,1,0.724732591137306
471,584,2,7,1,1,1,1,1,1,33,1,11,0.849887215309612
471,765,2,4,1,1,1,1,1,1,42,3,12,1.11329404060249
472,496,2,6,1,1,1,3,1,2,-9,1,8,0.721822018482136
476,619,1,6,2,1,5,1,1,1,40,3,7,0.900822236775086
476,571,2,8,2,1,1,1,1,1,37,1,9,0.830968493051008
476,536,2,4,2,1,1,1,1,1,45,1,5,0.780033471585534
476,685,2,11,3,3,1,3,-9,-9,-9,4,5,0.996871134395692
478,4064,2,12,3,-9,1,3,-9,-9,-9,4,8,5.91428363530525
480,790,1,7,2,2,6,1,1,2,16,4,12,1.14967619879211
481,817,2,3,1,3,1,1,1,2,26,3,9,1.18896892963691
482,622,1,4,1,1,1,1,1,1,40,1,7,0.90518809575784
482,730,2,7,2,1,1,1,1,1,36,1,5,1.06235901913702
483,357,2,10,1,3,1,3,-9,-9,-9,4,13,0.519537218947828
483,615,1,7,3,3,1,1,2,1,53,1,12,0.895001091464746
486,567,1,4,2,5,4,1,1,2,16,3,5,0.825147347740668
489,518,2,8,2,2,1,1,1,1,24,1,10,0.753838317689005
490,1149,2,9,2,2,1,1,2,1,33,1,12,1.67212399039511
491,670,1,6,1,3,1,3,-9,-9,-9,4,5,0.975041839481918
492,790,2,1,1,3,1,3,1,2,-9,4,9,1.14967619879211
497,633,2,11,2,1,1,3,1,2,-9,1,9,0.921196245361275
497,0,1,12,3,-9,1,3,2,1,-9,2,4,0
498,646,1,5,2,1,1,1,1,1,42,1,9,0.940114967619879
499,789,2,4,2,1,3,1,1,1,0,1,8,1.14822091246453
499,412,1,10,2,4,1,3,1,1,-9,1,6,0.599577966965
500,394,1,12,3,-9,1,3,1,1,-9,2,5,0.573382813068471
503,471,1,12,3,-9,1,3,-9,-9,-9,4,12,0.685439860292513
506,508,2,5,2,1,1,1,1,1,0,1,8,0.739285454413156
507,504,1,11,2,4,1,3,-9,-9,-9,4,2,0.733464309102816
509,442,2,12,2,-9,1,3,1,2,-9,3,13,0.643236556792549
