CASENEW,PWT14,SEX,AGEEULR,MARSTA3R,HIQUL15D,ETHUK7R,ILODEFR,STAT3R,FTPTWK,TOTHRS,NSECMJ3R,GOVTOF2,PWT14R
6177,2951,2,12,2,-9,1,3,-9,-9,-9,4,2,4.29454995270319
6178,603,1,6,3,2,1,1,1,1,39,1,2,0.877537655533726
6180,629,2,6,2,1,1,1,2,2,15,2,12,0.915375100050935
6181,482,1,5,2,1,1,1,1,1,32,1,12,0.701448009895947
6184,551,2,8,2,3,1,1,1,1,0,2,11,0.801862766499309
6185,2603,1,12,2,-9,1,3,-9,-9,-9,4,6,3.78811031070363
6187,791,1,2,1,1,1,1,1,1,40,2,10,1.1511314851197
6187,782,1,6,2,2,1,1,2,1,0,2,4,1.13803390817143
6188,517,1,11,2,2,1,3,-9,-9,-9,4,4,0.75238303136142
6188,490,1,7,2,4,1,1,1,1,36,3,12,0.713090300516627
6192,659,1,9,2,6,1,1,1,1,39,1,10,0.959033689878484
6193,559,2,5,1,3,1,1,1,1,40,3,7,0.813505057119988
6193,734,1,2,1,3,1,1,1,1,35,1,2,1.06818016444735
6193,701,2,6,1,4,1,3,-9,-9,-9,4,12,1.02015571563705
6195,420,2,11,2,6,1,3,-9,-9,-9,4,12,0.61122025758568
6195,586,2,11,2,6,1,1,1,2,7,3,12,0.852797787964782
6198,608,1,11,2,3,1,3,1,1,-9,3,8,0.884814087171651
6200,854,1,9,1,4,1,1,1,1,38,3,8,1.24281452375755
6200,0,1,12,2,-9,1,3,-9,-9,-9,4,2,0
6202,940,1,2,1,3,1,1,1,1,0,1,9,1.36796914792986
6202,699,2,2,1,3,1,1,1,1,0,1,12,1.01724514298188
6203,562,2,12,2,-9,1,3,-9,-9,-9,4,10,0.817870916102743
6204,435,1,11,2,3,1,3,-9,-9,-9,4,9,0.633049552499454
6205,733,1,4,2,3,1,1,1,1,48,1,11,1.06672487811977
6205,550,1,5,2,3,1,1,1,1,60,2,12,0.800407480171724
6207,700,1,3,2,3,1,2,1,2,-9,4,4,1.01870042930947
6209,585,2,12,2,-9,1,3,-9,-9,-9,4,5,0.851342501637197
6210,611,2,10,2,3,7,3,-9,-9,-9,4,8,0.889179946154406
6212,531,2,5,2,1,3,3,-9,-9,-9,4,9,0.77275703994761
6212,562,2,4,1,5,7,3,1,2,-9,2,10,0.817870916102743
6212,386,1,12,3,-9,1,3,1,1,-9,3,10,0.561740522447792
6212,397,2,1,1,3,1,1,1,2,25,4,2,0.577748672051226
6214,322,2,12,2,-9,1,3,-9,-9,-9,4,6,0.468602197482355
6218,558,2,7,2,3,1,1,1,2,16,3,9,0.812049770792403
6220,508,2,1,1,6,2,3,-9,-9,-9,4,6,0.739285454413156
6220,378,2,5,3,4,1,1,1,2,16,3,13,0.550098231827112
6221,406,2,10,2,6,1,1,1,1,30,1,6,0.590846248999491
6222,453,2,11,2,6,1,3,1,1,-9,3,1,0.659244706395983
6224,1013,1,4,1,1,1,1,2,1,35,1,8,1.47420504984356
6224,593,2,7,2,3,1,1,1,2,17,2,9,0.862984792257877
6225,800,2,7,3,1,1,1,2,1,39,1,9,1.16422906206796
6226,670,2,7,2,3,3,2,-9,-9,-9,4,8,0.975041839481918
6230,535,1,1,1,4,1,3,-9,-9,-9,4,9,0.77857818525795
6231,701,1,8,2,3,1,1,1,1,40,3,9,1.02015571563705
6232,787,1,2,1,4,1,1,1,1,42,3,6,1.14531033980936
6232,665,2,9,2,5,1,1,1,1,39,3,5,0.967765407843993
6233,876,2,2,1,3,1,1,1,1,40,3,9,1.27483082296442
6240,669,2,8,2,4,1,1,1,2,21,3,6,0.973586553154333
6242,931,1,6,2,6,1,1,2,1,60,2,11,1.35487157098159
6244,701,1,9,2,4,1,1,1,1,40,1,8,1.02015571563705
6245,485,1,11,2,4,1,3,-9,-9,-9,4,1,0.705813868878702
6245,502,1,8,2,1,1,1,1,1,45,1,12,0.730553736447646
6246,856,2,3,1,1,1,1,1,1,0,3,6,1.24572509641272
6246,535,1,12,2,-9,1,3,1,1,-9,3,4,0.77857818525795
6246,624,1,8,2,1,1,1,1,1,55,1,4,0.90809866841301
6247,550,1,7,2,4,1,1,2,1,16,2,10,0.800407480171724
6247,544,1,10,2,4,1,1,1,2,24,1,10,0.791675762206214
6248,702,1,4,1,1,1,1,1,1,36,2,2,1.02161100196464
6249,673,1,1,1,4,1,3,-9,-9,-9,4,1,0.979407698464673
6250,531,2,5,1,2,1,1,1,1,0,1,9,0.77275703994761
6251,527,2,10,2,4,1,3,-9,-9,-9,4,7,0.76693589463727
6251,3484,1,12,3,-9,1,3,-9,-9,-9,4,1,5.07021756530597
6253,532,2,11,3,2,1,3,-9,-9,-9,4,2,0.774212326275195
6254,803,1,2,1,3,1,3,-9,-9,-9,4,2,1.16859492105072
6255,618,1,10,2,6,1,3,1,1,-9,1,6,0.899366950447501
6255,673,1,7,2,4,1,1,1,1,39,3,2,0.979407698464673
6257,613,1,10,3,4,1,1,1,2,24,3,9,0.892090518809576
6257,743,1,12,3,5,6,1,1,1,48,3,8,1.08127774139562
6258,480,2,11,2,2,1,1,1,2,16,1,8,0.698537437240777
6259,939,1,2,1,4,1,1,1,1,32,2,5,1.36651386160227
6260,643,1,8,2,1,7,1,2,1,74,1,2,0.935749108637124
6261,1053,1,4,1,1,1,1,1,1,50,1,8,1.53241650294695
6261,698,1,11,1,1,1,3,1,1,-9,1,7,1.0157898566543
6261,532,2,3,1,4,1,1,1,1,40,1,7,0.774212326275195
6262,659,1,9,2,1,3,1,1,1,39,1,8,0.959033689878484
6263,661,1,6,1,1,1,1,1,1,40,1,8,0.961944262533654
6264,744,2,7,2,4,1,1,1,1,0,3,6,1.0827330277232
6265,741,1,7,2,1,1,1,1,1,60,1,6,1.07836716874045
6265,642,1,8,2,2,1,1,1,1,45,3,1,0.934293822309539
6266,480,1,11,2,5,1,1,2,2,30,2,10,0.698537437240777
6268,822,1,6,2,1,1,1,1,1,-8,3,9,1.19624536127483
6270,552,2,9,2,5,1,3,1,2,-9,3,2,0.803318052826894
6271,661,1,6,2,3,5,1,1,1,39,2,8,0.961944262533654
6274,467,2,10,3,6,1,1,1,2,16,3,4,0.679618714982173
6275,744,1,7,2,2,1,1,1,2,16,3,10,1.0827330277232
6275,527,2,8,1,4,1,1,1,2,15,3,7,0.76693589463727
6275,873,1,1,1,3,1,1,1,2,10,4,2,1.27046496398166
6276,731,2,4,2,4,1,1,1,2,16,2,5,1.0638143054646
6281,855,1,4,2,1,3,1,2,1,24,1,8,1.24426981008513
6281,547,2,12,3,-9,1,3,1,2,-9,2,12,0.796041621188969
6282,548,1,9,2,5,1,1,1,1,40,3,10,0.797496907516554
6283,591,1,6,2,1,1,1,2,1,45,2,9,0.860074219602707
6285,547,2,4,1,1,1,1,1,1,0,1,11,0.796041621188969
6286,915,1,2,1,3,1,1,1,1,65,1,5,1.33158698974023
6287,686,1,6,1,7,1,1,1,1,48,2,4,0.998326420723277
6288,772,1,9,2,2,1,1,2,1,44,1,9,1.12348104489558
6288,711,2,6,1,1,1,1,1,2,24,1,2,1.0347085789129
6288,536,1,7,2,3,1,1,2,1,37,1,2,0.780033471585534
6288,801,1,1,1,4,1,1,1,1,40,3,11,1.16568434839555
6291,655,1,9,3,3,1,1,2,1,52,2,2,0.953212544568144
6292,613,2,7,2,1,1,1,1,1,50,1,2,0.892090518809576
6292,446,2,7,2,2,1,1,1,1,0,1,12,0.649057702102889
6293,716,2,1,1,4,1,3,-9,-9,-9,4,8,1.04198501055083
6295,638,1,8,3,4,1,1,2,1,0,2,7,0.9284726769992
6298,897,1,8,2,4,1,1,1,1,54,2,6,1.3053918358437
6298,683,2,5,1,1,1,1,1,2,28,2,2,0.993960561740522
6300,671,1,4,3,5,1,1,1,1,0,3,9,0.976497125809503
6300,487,1,6,2,1,1,1,1,1,42,1,7,0.708724441533872
6300,576,1,11,2,6,1,3,1,1,-9,3,4,0.838244924688933
6302,1068,1,2,1,4,1,2,1,1,-9,3,4,1.55424579786073
6303,615,2,9,2,6,4,3,2,1,-9,2,12,0.895001091464746
6306,724,1,5,3,6,1,3,1,1,-9,3,6,1.05362730117151
6306,0,2,12,3,-9,1,3,-9,-9,-9,4,5,0
6307,661,1,2,1,3,1,3,1,2,-9,4,5,0.961944262533654
6307,517,1,10,3,5,1,1,1,1,40,3,12,0.75238303136142
6309,649,1,8,1,3,1,3,2,1,-9,2,10,0.944480826602634
6312,634,2,3,1,4,1,1,1,1,35,3,4,0.92265153168886
6313,617,2,9,2,6,1,3,-9,-9,-9,4,8,0.897911664119916
6319,622,1,8,2,1,3,1,2,1,50,1,7,0.90518809575784
6320,509,2,12,2,-9,1,3,1,2,-9,1,7,0.740740740740741
6321,591,1,11,2,1,1,3,-9,-9,-9,4,5,0.860074219602707
6322,2566,2,12,3,-9,1,3,-9,-9,-9,4,11,3.73426471658299
6322,578,1,7,2,3,1,1,1,1,42,3,12,0.841155497344102
6324,698,2,3,1,2,1,1,1,1,37,1,6,1.0157898566543
6325,515,2,11,2,1,1,3,1,2,-9,1,5,0.74947245870625
6327,894,1,4,2,1,1,1,1,1,50,3,8,1.30102597686095
6327,834,1,6,1,1,1,1,1,1,45,1,8,1.21370879720585
6329,754,2,8,2,3,3,1,1,1,44,1,10,1.09728589099905
6329,4020,2,12,3,-9,1,3,-9,-9,-9,4,5,5.85025103689151
6330,831,2,3,2,1,1,1,1,1,40,1,9,1.2093429382231
6332,553,2,10,2,1,1,3,-9,-9,-9,4,9,0.804773339154479
6332,570,1,5,3,1,1,1,2,1,40,1,12,0.829513206723423
6333,669,2,2,1,3,1,1,1,1,38,1,10,0.973586553154333
6333,819,2,2,1,1,5,3,-9,-9,-9,4,12,1.19187950229208
6334,764,1,5,1,7,1,2,-9,-9,-9,4,5,1.1118387542749
6335,837,1,2,1,3,1,2,-9,-9,-9,4,9,1.21807465618861
6338,564,2,3,1,6,1,1,1,1,0,3,12,0.820781488757913
6339,664,1,7,2,3,1,1,2,1,54,2,2,0.966310121516408
6340,513,1,10,2,1,1,1,1,1,4,1,8,0.746561886051081
6340,513,2,11,3,3,1,3,1,2,-9,1,5,0.746561886051081
6341,763,2,5,2,5,6,1,1,1,38,1,6,1.11038346794732
6343,553,2,7,3,3,1,1,1,1,28,3,4,0.804773339154479
6344,592,1,7,2,3,1,1,1,1,22,1,7,0.861529505930292
6344,763,2,5,2,6,4,3,-9,-9,-9,4,6,1.11038346794732
6346,0,1,12,2,-9,1,3,-9,-9,-9,4,4,0
6346,812,1,7,2,3,1,1,1,1,36,3,13,1.18169249799898
6349,383,2,12,3,-9,1,3,-9,-9,-9,4,6,0.557374663465037
6351,691,2,7,2,4,1,1,1,2,30,3,2,1.0056028523612
6353,549,2,10,3,3,1,1,1,2,13,2,5,0.798952193844139
6354,595,2,4,1,3,1,1,1,1,37,2,6,0.865895364913047
6355,0,1,12,2,-9,1,3,-9,-9,-9,4,5,0
6357,776,1,10,2,6,1,3,1,1,-9,3,10,1.12930219020592
6357,1131,2,2,1,1,1,2,-9,-9,-9,4,6,1.64592883649858
6357,479,2,10,2,3,1,1,1,2,32,2,1,0.697082150913192
6359,444,1,12,2,-9,1,3,-9,-9,-9,4,7,0.646147129447719
6361,796,1,4,1,7,1,1,1,1,38,2,4,1.15840791675762
6361,818,1,8,2,2,1,1,1,1,0,2,11,1.19042421596449
6368,346,2,4,1,1,1,1,3,1,30,1,13,0.503529069344394
6369,498,2,6,1,6,1,1,1,1,0,3,10,0.724732591137306
6370,540,2,2,1,4,1,2,-9,-9,-9,4,1,0.785854616895874
6372,2524,1,12,2,-9,1,3,-9,-9,-9,4,9,3.67314269082442
6373,691,1,10,2,3,1,1,1,1,0,3,7,1.0056028523612
6376,496,1,1,1,5,1,2,-9,-9,-9,4,1,0.721822018482136
6377,575,2,12,2,-9,1,3,1,2,-9,3,2,0.836789638361348
6379,2223,2,12,3,-9,1,3,-9,-9,-9,4,6,3.23510150622135
6385,463,1,11,2,6,1,1,1,2,36,3,10,0.673797569671833
6385,601,2,7,2,1,1,1,1,1,55,1,9,0.874627082878556
6388,658,1,6,2,5,1,1,1,1,45,3,10,0.957578403550899
6388,489,1,11,2,1,1,3,-9,-9,-9,4,7,0.711635014189042
6389,797,2,8,2,3,1,1,1,2,24,3,11,1.15986320308521
6390,337,1,12,2,-9,1,3,1,2,-9,3,10,0.490431492396129
6390,524,2,6,2,4,1,3,1,2,-9,3,7,0.762570035654515
6392,3236,2,12,3,-9,1,3,-9,-9,-9,4,10,4.70930655606491
6392,2885,1,12,2,-9,1,3,-9,-9,-9,4,4,4.19850105508259
6392,497,2,4,2,3,1,1,1,2,0,2,1,0.723277304809721
6394,850,1,5,2,1,1,1,1,1,45,1,12,1.23699337844721
6396,742,1,6,2,1,1,1,1,1,-8,1,8,1.07982245506803
6396,663,2,5,2,1,1,1,2,1,44,2,8,0.964854835188823
6399,376,1,12,2,-9,1,3,-9,-9,-9,4,6,0.547187659171942
6400,618,2,1,1,-8,1,3,-9,-9,-9,4,5,0.899366950447501
6400,304,1,9,2,6,1,3,-9,-9,-9,4,13,0.442407043585825
6401,600,2,2,1,1,1,1,1,2,25,4,13,0.873171796550971
6402,629,2,8,2,2,1,1,1,2,0,1,9,0.915375100050935
6405,631,2,8,2,1,1,3,1,1,-9,1,12,0.918285672706105
6409,510,2,10,2,4,1,3,1,2,-9,3,12,0.742196027068326
6413,508,1,5,2,3,1,1,1,1,40,3,12,0.739285454413156
6415,641,1,8,3,7,1,1,1,1,40,3,5,0.932838535981954
6417,551,1,7,2,1,1,1,1,1,40,1,9,0.801862766499309
6418,521,2,7,2,3,5,1,1,1,55,1,7,0.75820417667176
6418,711,1,7,3,3,1,1,1,1,40,1,2,1.0347085789129
6419,3210,2,12,3,-9,1,3,-9,-9,-9,4,9,4.6714691115477
6420,642,1,5,2,1,1,1,1,1,37,1,8,0.934293822309539
6422,694,2,11,2,3,1,3,-9,-9,-9,4,6,1.00996871134396
6422,338,2,12,2,-9,1,3,-9,-9,-9,4,1,0.491886778723714
6423,1005,1,3,2,6,1,1,1,1,48,3,9,1.46256275922288
6423,620,1,5,2,2,1,1,1,1,38,1,13,0.902277523102671
6425,679,2,12,2,-9,3,3,-9,-9,-9,4,8,0.988139416430183
6426,558,2,6,2,3,1,1,1,2,0,3,10,0.812049770792403
6427,493,1,7,2,3,1,1,1,1,40,1,9,0.717456159499382
6428,0,2,12,2,-9,1,3,-9,-9,-9,4,2,0
6430,880,2,3,1,1,1,1,1,1,55,1,8,1.28065196827476
6431,680,1,6,2,3,1,1,1,1,43,1,5,0.989594702757768
6431,597,2,9,3,2,1,1,1,1,32,2,5,0.868805937568217
6432,665,2,7,2,1,1,1,1,1,47,1,9,0.967765407843993
6436,500,2,9,2,1,1,1,1,1,0,1,4,0.727643163792476
6437,726,1,2,1,3,1,1,1,1,40,2,7,1.05653787382668
6437,482,1,5,1,3,1,1,1,1,39,3,12,0.701448009895947
6438,511,1,7,2,1,1,1,1,1,0,1,9,0.743651313395911
6438,670,2,11,2,2,1,3,1,2,-9,1,9,0.975041839481918
6438,623,2,8,2,5,1,3,-9,-9,-9,4,2,0.906643382085425
6440,494,2,6,2,1,1,1,1,2,21,1,6,0.718911445826967
6440,695,2,9,2,1,1,1,1,2,40,1,6,1.01142399767154
6442,3292,2,12,3,-9,1,3,-9,-9,-9,4,9,4.79080259040966
6443,485,2,9,2,3,1,1,2,1,28,2,10,0.705813868878702
6444,909,1,2,2,3,1,1,1,1,52,1,9,1.32285527177472
6444,744,2,1,1,4,1,1,1,1,37,2,1,1.0827330277232
6446,469,2,5,2,1,7,1,3,1,20,4,9,0.682529287637343
6447,679,2,2,1,4,1,3,1,2,-9,3,4,0.988139416430183
6449,525,1,12,2,-9,4,3,-9,-9,-9,4,8,0.7640253219821
6450,703,2,5,1,4,1,1,1,1,-9,3,5,1.02306628829222
6451,705,1,8,3,1,1,1,1,1,44,1,10,1.02597686094739
6452,582,2,6,3,3,1,1,1,2,23,2,9,0.846976642654442
6452,791,2,1,1,4,5,3,-9,-9,-9,4,6,1.1511314851197
6453,574,1,9,3,3,1,1,2,1,50,2,7,0.835334352033763
6454,716,2,9,2,2,7,1,1,1,40,1,8,1.04198501055083
6457,691,2,8,3,4,1,3,2,1,-9,2,2,1.0056028523612
6459,568,2,10,2,1,1,1,1,2,9,2,6,0.826602634068253
6460,954,2,3,1,1,1,1,1,1,42,1,8,1.38834315651604
6461,495,1,7,2,4,1,1,2,1,50,2,9,0.720366732154551
6461,785,2,8,3,3,1,3,1,1,-9,2,6,1.14239976715419
6462,586,1,11,3,1,1,3,1,1,-9,1,7,0.852797787964782
6462,620,2,12,2,-9,1,3,-9,-9,-9,4,1,0.902277523102671
6463,763,2,5,2,6,4,3,-9,-9,-9,4,6,1.11038346794732
6463,599,1,9,3,3,1,1,2,1,70,2,12,0.871716510223386
6464,833,1,7,2,3,3,1,1,1,36,1,8,1.21225351087827
6465,0,1,12,2,-9,1,3,-9,-9,-9,4,2,0
6467,786,1,2,1,3,1,1,1,1,0,3,10,1.14385505348177
6467,721,1,9,2,1,1,1,1,1,0,1,7,1.04926144218875
6468,557,2,4,2,5,5,1,1,1,57,3,1,0.810594484464819
6469,689,2,8,3,1,1,1,1,1,0,1,2,1.00269227970603
6470,689,1,8,2,1,1,1,2,2,0,2,10,1.00269227970603
6470,518,2,1,1,3,1,3,-9,-9,-9,4,12,0.753838317689005
6471,721,1,9,2,5,1,1,1,1,0,3,7,1.04926144218875
6472,2770,2,3,1,1,1,1,1,1,40,1,2,4.03114312741032
6473,638,2,6,2,2,1,1,2,2,8,1,9,0.9284726769992
6473,524,2,5,2,6,1,3,1,2,-9,3,4,0.762570035654515
6474,968,2,1,1,3,1,1,1,2,8,4,6,1.40871716510223
6474,857,1,3,2,1,1,1,1,1,38,2,2,1.2471803827403
6476,554,2,1,1,3,1,1,1,2,15,4,4,0.806228625482064
6478,698,1,4,3,4,1,1,1,1,38,1,4,1.0157898566543
6479,558,2,9,2,1,1,3,1,2,-9,1,4,0.812049770792403
6479,702,2,3,1,1,1,1,1,1,50,1,2,1.02161100196464
6480,814,2,3,1,1,1,1,1,1,55,1,9,1.18460307065415
6482,608,2,9,1,5,1,3,-9,-9,-9,4,9,0.884814087171651
6486,736,2,5,2,1,6,3,1,1,-9,2,8,1.07109073710252
6486,622,1,1,1,4,3,3,-9,-9,-9,4,4,0.90518809575784
6486,559,1,10,2,5,1,1,1,1,40,3,2,0.813505057119988
6487,822,1,6,2,3,1,1,2,1,40,1,9,1.19624536127483
6487,625,1,4,1,1,1,1,1,1,20,3,4,0.909553954740595
6487,622,1,5,1,6,1,1,1,2,24,3,2,0.90518809575784
6488,539,1,7,2,4,1,1,1,1,52,3,12,0.784399330568289
6489,579,1,11,3,2,1,2,1,2,-9,3,7,0.842610783671687
6489,738,1,9,3,3,1,1,1,1,40,3,2,1.07400130975769
6494,665,1,7,2,1,1,1,1,1,0,1,10,0.967765407843993
6495,516,1,10,2,4,1,1,1,2,33,3,9,0.750927745033835
6495,638,2,6,2,4,1,1,1,2,20,1,2,0.9284726769992
6497,707,1,4,2,1,1,1,1,1,0,1,12,1.02888743360256
6499,504,1,11,2,2,1,3,-9,-9,-9,4,2,0.733464309102816
6502,491,2,11,1,6,1,3,-9,-9,-9,4,9,0.714545586844212
6502,639,2,6,1,4,1,1,1,1,40,1,7,0.929927963326785
6503,430,2,11,2,4,1,3,1,1,-9,3,9,0.625773120861529
6503,780,1,1,1,4,3,2,-9,-9,-9,4,8,1.13512333551626
6503,680,2,8,2,2,1,3,1,1,-9,1,1,0.989594702757768
6505,0,2,12,3,-9,1,3,-9,-9,-9,4,6,0
6506,581,2,9,3,4,1,1,1,1,38,2,7,0.845521356326857
6508,759,1,2,1,3,2,1,1,2,14,4,9,1.10456232263698
6510,737,1,7,2,1,1,1,2,1,54,2,6,1.07254602343011
6510,480,2,11,3,4,1,3,1,2,-9,2,11,0.698537437240777
6510,1026,1,2,1,5,1,2,1,1,-9,4,11,1.49312377210216
6512,558,1,8,2,1,1,1,1,1,42,1,10,0.812049770792403
6514,815,2,2,1,3,1,3,-9,-9,-9,4,7,1.18605835698174
6514,722,1,4,1,4,1,1,1,1,39,3,12,1.05071672851634
6517,410,2,9,2,1,1,1,1,1,42,1,5,0.596667394309831
6517,837,1,7,1,3,1,1,1,2,10,2,1,1.21807465618861
6518,468,2,9,3,4,1,1,1,2,20,1,9,0.681074001309758
6524,684,1,8,3,4,1,1,1,1,38,3,2,0.995415848068107
6525,281,2,10,3,1,1,1,1,2,32,1,13,0.408935458051372
6526,619,2,4,2,3,1,1,1,2,26,1,10,0.900822236775086
6527,1053,2,2,1,6,1,1,1,2,20,3,7,1.53241650294695
6531,604,2,4,1,3,1,1,1,2,16,3,9,0.878992941861311
6532,561,1,6,2,3,1,1,1,1,42,1,7,0.816415629775158
6532,308,1,12,1,-9,1,3,-9,-9,-9,4,13,0.448228188896165
6532,525,1,8,1,6,1,1,1,1,37,3,12,0.7640253219821
6533,480,2,8,3,4,1,1,1,1,55,1,10,0.698537437240777
6533,523,2,3,2,3,1,2,1,2,-9,4,4,0.76111474932693
6535,452,1,10,2,2,1,3,1,1,-9,1,7,0.657789420068398
6535,710,1,3,1,3,1,1,2,1,40,2,11,1.03325329258532
6535,545,1,10,2,3,1,3,2,1,-9,1,12,0.793131048533799
6536,714,1,8,2,3,1,1,1,1,0,3,1,1.03907443789566
6536,467,1,11,2,2,1,1,2,1,44,2,12,0.679618714982173
6537,791,2,2,1,3,1,1,1,2,12,4,6,1.1511314851197
6537,609,1,7,1,5,1,1,1,1,36,3,11,0.886269373499236
6541,621,2,7,2,3,1,1,1,1,36,1,2,0.903732809430255
6543,558,2,4,1,5,1,3,-9,-9,-9,4,10,0.812049770792403
6545,913,1,6,2,1,1,1,2,2,17,2,12,1.32867641708506
6546,461,1,12,2,-9,1,3,1,2,-9,1,11,0.670886997016663
6550,834,1,6,2,1,1,1,2,1,40,1,8,1.21370879720585
6551,2722,1,12,2,-9,1,3,-9,-9,-9,4,5,3.96128938368624
6551,544,2,12,3,-9,1,3,1,2,-9,2,2,0.791675762206214
6554,847,2,4,1,1,1,3,1,2,-9,1,8,1.23262751946445
6554,663,1,7,1,4,1,1,2,1,42,2,7,0.964854835188823
6555,641,1,8,1,4,1,1,1,1,42,1,5,0.932838535981954
6555,637,1,3,1,1,1,1,1,1,0,2,1,0.927017390671615
6556,574,2,10,2,5,1,1,1,2,25,3,2,0.835334352033763
6557,449,1,11,2,1,1,3,1,1,-9,1,8,0.653423561085644
6557,991,2,3,1,1,1,1,1,1,45,1,8,1.44218875063669
6558,504,2,4,2,1,1,1,1,2,0,2,10,0.733464309102816
6562,524,2,7,3,4,1,1,1,1,36,3,2,0.762570035654515
6564,438,2,11,2,6,3,3,-9,-9,-9,4,8,0.637415411482209
6564,624,2,8,2,4,1,1,1,1,38,1,11,0.90809866841301
6565,600,1,10,2,3,1,1,1,1,0,3,7,0.873171796550971
6565,745,1,4,1,5,1,1,1,1,65,3,4,1.08418831405079
6566,715,2,11,1,1,1,3,-9,-9,-9,4,8,1.04052972422324
6570,486,2,1,1,6,1,3,-9,-9,-9,4,5,0.707269155206287
6571,768,1,5,2,1,1,1,1,1,38,1,8,1.11765989958524
6572,574,2,10,2,4,1,1,1,2,18,2,2,0.835334352033763
6573,898,1,5,2,5,6,1,1,1,28,3,6,1.30684712217129
6574,681,2,4,2,5,1,3,2,2,-9,2,12,0.991049989085353
6575,821,1,1,1,6,1,3,-9,-9,-9,4,8,1.19479007494725
6575,637,2,8,2,5,1,3,1,2,-9,3,4,0.927017390671615
6576,549,2,12,3,-9,1,3,-9,-9,-9,4,7,0.798952193844139
6576,536,2,6,2,1,1,1,1,2,0,1,2,0.780033471585534
6576,352,2,11,2,4,1,1,1,2,20,2,13,0.512260787309903
6577,525,2,4,1,1,1,1,1,1,38,1,7,0.7640253219821
6577,486,1,9,2,6,1,1,1,1,42,3,12,0.707269155206287
6579,1000,1,4,2,3,1,1,1,1,48,3,7,1.45528632758495
6579,563,1,1,1,5,1,3,-9,-9,-9,4,12,0.819326202430328
6580,576,1,11,3,3,1,3,1,1,-9,3,4,0.838244924688933
6582,726,2,6,2,1,1,1,1,1,50,1,8,1.05653787382668
6584,708,2,3,2,1,1,1,1,1,-8,1,9,1.03034271993015
6585,630,2,7,2,3,1,1,1,1,39,1,11,0.91683038637852
6587,747,1,3,1,7,1,3,1,-8,-9,3,1,1.08709888670596
6588,3073,2,12,2,-9,1,3,-9,-9,-9,4,12,4.47209488466856
6589,702,2,1,1,3,1,3,-9,-9,-9,4,9,1.02161100196464
6590,668,2,6,2,4,1,1,1,1,55,1,10,0.972131266826748
6590,786,2,8,3,5,1,1,1,1,30,3,5,1.14385505348177
6592,532,2,7,3,3,1,1,2,2,0,2,4,0.774212326275195
6593,528,1,9,2,2,1,1,1,1,40,1,9,0.768391180964855
6594,645,2,6,1,1,1,1,1,1,38,1,2,0.938659681292294
6595,590,2,4,2,1,1,1,1,2,30,1,6,0.858618933275122
6595,562,1,4,1,2,1,1,1,1,46,3,2,0.817870916102743
6598,844,1,7,2,3,1,1,2,1,46,2,8,1.2282616604817
6598,542,1,9,2,1,1,1,1,1,31,1,7,0.788765189551044
6599,585,2,6,1,1,1,1,1,2,16,1,7,0.851342501637197
6599,657,2,1,1,3,1,1,1,1,24,2,12,0.956123117223314
6602,501,2,9,3,4,1,1,1,2,26,1,5,0.729098450120061
6603,0,1,12,2,-9,1,3,1,1,-9,1,7,0
6603,431,1,11,2,3,1,3,2,1,-9,2,7,0.627228407189114
6603,710,1,11,2,2,1,3,1,1,-9,1,12,1.03325329258532
6604,524,2,6,1,4,1,1,1,1,56,1,5,0.762570035654515
6604,712,1,5,2,1,1,1,1,1,48,1,2,1.03616386524049
6605,1051,1,2,1,3,2,2,-9,-9,-9,4,8,1.52950593029179
6605,0,2,12,2,-9,1,3,-9,-9,-9,4,2,0
6606,665,2,3,1,3,1,1,2,1,37,2,10,0.967765407843993
6607,1392,1,4,2,5,7,1,1,2,8,3,8,2.02575856799825
6608,584,2,9,2,4,1,1,1,2,30,3,10,0.849887215309612
6608,670,1,12,3,-9,1,3,-9,-9,-9,4,6,0.975041839481918
6609,654,2,6,2,4,1,1,1,1,44,3,4,0.951757258240559
6609,645,2,6,1,4,1,3,-9,-9,-9,4,2,0.938659681292294
6611,471,1,11,2,6,1,3,2,1,-9,2,4,0.685439860292513
6612,649,2,10,2,2,1,3,1,1,-9,3,6,0.944480826602634
6613,647,2,5,1,1,1,1,1,1,38,1,6,0.941570253947464
6613,495,2,12,2,-9,1,3,1,1,-9,3,13,0.720366732154551
6614,445,1,12,2,1,1,1,2,2,12,2,7,0.647602415775304
6616,533,2,7,2,6,4,3,-9,-9,-9,4,7,0.77566761260278
6619,590,1,4,2,5,7,1,1,1,40,3,1,0.858618933275122
6621,615,2,9,2,6,1,3,-9,-9,-9,4,12,0.895001091464746
6623,745,2,7,2,1,1,1,1,1,35,1,6,1.08418831405079
6624,526,1,5,2,1,1,1,1,1,35,1,2,0.765480608309685
6626,497,1,11,2,1,1,3,1,1,-9,1,12,0.723277304809721
6628,933,1,3,2,3,1,1,1,1,0,1,12,1.35778214363676
6632,529,2,8,2,2,1,1,1,1,20,1,4,0.76984646729244
6633,523,2,12,2,-9,1,3,-9,-9,-9,4,1,0.76111474932693
6634,3168,1,12,2,-9,1,3,-9,-9,-9,4,7,4.61034708578913
6635,987,2,2,2,3,1,1,1,2,25,4,12,1.43636760532635
6636,970,1,2,1,2,1,1,1,2,20,4,12,1.4116277377574
6638,541,2,1,1,-8,1,3,-9,-9,-9,4,4,0.787309903223459
